No,id_item,nama_item,katagory,Brand,harga,rating
58,EI058,Eiger Shirt Evolute,Shirt,Eiger,369000,"4,6"
59,EI059,Eiger Shirt Shield Quilted Shirt,Shirt,Eiger,469000,"4,7"
60,EI060,Eiger Shirt Newburgh Flannel Shirt,Shirt,Eiger,419000,"4,5"
61,EI061,Eiger Shirt Battleseeker Long Shirt,Shirt,Eiger,459000,"4,3"
62,EI062,Eiger Shirt Evolute Long Shirt,Shirt,Eiger,399000,"4,4"
63,EI063,Eiger Shirt Spanner,Shirt,Eiger,469000,"4,7"
64,EI064,Eiger Shirt Men Escrapment Long Shirt,Shirt,Eiger,349000,"4,3"
65,EI065,Eiger Shirt Madison Long Shirt,Shirt,Eiger,399000,"4,7"
66,EI066,Eiger Shirt Spark Overshirt,Shirt,Eiger,399000,"4,8"
67,EI067,Eiger Shirt Rocktrail Neu Long Shirt,Shirt,Eiger,429000,"4,5"
68,EI068,Eiger Shirt Rocktrail Neu Short Shirt,Shirt,Eiger,429000,"4,7"
69,EI069,Eiger Shirt Cardenaz Long Shirt,Shirt,Eiger,429000,"4,9"
70,EI070,Eiger Shirt Bentayan Short Shirt,Shirt,Eiger,429000,"4,7"
71,EI071,Eiger Shirt Sedona Shirt Short Shirt,Shirt,Eiger,339000,"4,4"
72,EI072,Eiger Shirt Harpers Shirt Long Shirt,Shirt,Eiger,319000,"4,7"
73,EI073,Eiger Shirt Hikerseekers Long Shirt,Shirt,Eiger,359000,"4,5"
74,EI074,Eiger Shirt Topograph Shirt Short Shirt,Shirt,Eiger,459000,"4,4"
75,EI075,Eiger Shirt Poza Rica Flannel Shirt,Shirt,Eiger,359000,"4,8"
76,EI076,Eiger Bag Starter Daypack ,Bag,Eiger,359000,"4,5"
77,EI077,Eiger Bag Rivulet Pack ,Bag,Eiger,549000,"4,3"
78,EI078,Eiger Bag Rivulet Pack ,Bag,Eiger,439000,"4,7"
79,EI079,Eiger Bag Reveal ,Bag,Eiger,439000,"4,8"
80,EI080,Eiger Bag Aster Canvas ,Bag,Eiger,375000,"4,5"
81,EI081,Eiger Bag Frontier Pack ,Bag,Eiger,379000,"4,3"
82,EI082,Eiger Bag Frontier Pack ,Bag,Eiger,419000,"4,2"
83,EI083,Eiger Bag Packerbase ,Bag,Eiger,299000,"4,7"
84,EI084,Eiger Bag Jaster ,Bag,Eiger,289000,"4,8"
85,EI085,Eiger Bag Wagen Sailor ,Bag,Eiger,359000,"4,3"
86,EI086,Eiger Bag Wagen Backpack ,Bag,Eiger,459000,"4,7"
87,EI087,Eiger Bag Hillwalk Backpack ,Bag,Eiger,279000,"4,7"
88,EI088,Eiger Bag Alcove ,Bag,Eiger,299000,"4,9"
89,EI089,Eiger Bag Hillfronter Pack ,Bag,Eiger,529000,"4,8"
90,EI090,Eiger Bag Groundway ,Bag,Eiger,489000,"4,6"
91,EI091,Eiger Bag Tripper Shoes Pack ,Bag,Eiger,419000,"4,5"
92,EI092,Eiger Bag Descent ,Bag,Eiger,559000,"4,3"
93,EI093,Eiger Bag Descent ,Bag,Eiger,439000,"4,7"
94,EI094,Eiger Bag Sollevare ,Bag,Eiger,489000,"4,6"
95,EI095,Eiger Bag Roadway ,Bag,Eiger,139000,"4,8"
96,EI096,Eiger Bag Urbanway ,Bag,Eiger,239000,"4,6"
97,EI097,Eiger Bag Cascade ,Bag,Eiger,549000,"4,7"
98,EI098,Eiger Bag Safar Travel Backpack ,Bag,Eiger,499000,"4,9"
99,EI099,Eiger Bag Caravel Base,Bag,Eiger,389000,"4,6"
100,EI100,Eiger Bag Immigrate,Bag,Eiger,459000,"4,5"
1,TE001,Executive Kaos Dolman Sleeve Top Brown,T-Shirt,Executive,99900,"4,6"
2,TE002,Executive Kaos Dolman Sleeve Top White,T-Shirt,Executive,99900,"4,8"
3,TE003,Executive Kaos Dolman Sleeve Top Lavender,T-Shirt,Executive,99900,"4,5"
4,TE004,Executive Kaos Dolman Sleeve Top Soft Green,T-Shirt,Executive,99900,"4,7"
5,TE005,Executive Kaos Round Neck Puff Sleeves Top Taupe,T-Shirt,Executive,127415,"4,9"
6,TE006,Executive Kaos Round Neck Puff Sleeves Top Off White,T-Shirt,Executive,127415,"4,7"
7,TE007,Executive Kaos Short Sleeve Stripes Shirt Beige,T-Shirt,Executive,110415,"4,5"
8,TE008,Executive Kaos Openwork Short Sleeve Top Black,T-Shirt,Executive,237915,"4,6"
9,TE009,Executive Kaos Openwork Short Sleeve Top Soft Pink,T-Shirt,Executive,237915,"4,8"
10,TE010,Executive Kaos Short Sleeve Graphic Shirt Black,T-Shirt,Executive,84915,"4,7"
11,TE011,Executive Kaos Short Sleeve Top With Pocket Details Navy,T-Shirt,Executive,152915,"4,6"
12,TE012,Executive Kaos Short Sleeve Stripes Shirt Navy,T-Shirt,Executive,110415,"4,5"
13,TE013,Executive Kaos Short Sleeve Eyelet Top Off White,T-Shirt,Executive,152915,"4,8"
14,TE014,Executive Kaos Round Neck Short Sleeve Shirt Dusty Blue,T-Shirt,Executive,79900,"4,9"
15,TE015,Executive Kaos Round Neck Short Sleeve Shirt Lime,T-Shirt,Executive,79900,"4,9"
16,TE016,Executive Kaos Round Neck Short Sleeve Shirt Orange,T-Shirt,Executive,79900,"4,8"
17,TE017,Executive Kaos Round Neck Short Sleeve Shirt Green,T-Shirt,Executive,79900,"4,7"
18,TE018,Executive Kaos Round Neck Short Sleeve Shirt Purple,T-Shirt,Executive,79900,"4,6"
19,TE019,Executive Kaos Basic Cropped Cotton Shirt Light Pink,T-Shirt,Executive,79900,"4,5"
20,TE020,Executive Kaos Short Sleeve Graphic Crop Shirt Emerald,T-Shirt,Executive,49950,"4,5"
21,TE021,Executive Kaos Short Sleeve Graphic Shirt Soft Pink,T-Shirt,Executive,49950,"4,6"
22,TE022,Executive Kaos Stripes Zipper Knit Top Off White,T-Shirt,Executive,209930,"4,7"
23,TE023,Executive Kaos Basic Round Neck Cotton Shirt Green,T-Shirt,Executive,99900,"4,8"
24,TE024,Executive Kaos Short Sleeve Crop Graphic Shirt Off White,T-Shirt,Executive,49950,"4,9"
25,TE025,Executive Kaos Short Sleeve Cropped Shirt Light Blue,T-Shirt,Executive,59900,"4,5"
26,TE026,Executive Stripe Printed Long Pants,Pants,Executive,98970,"4,7"
27,TE027,Executive Regular Fit Classic Trousers Grey,Pants,Executive,89970,"4,9"
28,TE028,Executive Wide Leg Loose Pants Olive,Pants,Executive,59980,"4,6"
29,TE029,Executive Regular Fit Printed Pants Off White,Pants,Executive,98970,"4,8"
30,TE030,Executive Regular Fit Classic Trousers Navy,Pants,Executive,89970,"4,9"
31,TE031,Executive Straight Leg Striped Pants Soft Pink,Pants,Executive,89970,"4,7"
32,TE032,Executive Way Stretch Brooklyn Pants Black,Pants,Executive,303920,"4,5"
33,TE033,Executive Straight Leg Striped Long Pants Grey,Pants,Executive,89970,"4,8"
34,TE034,Executive Manhattan Fit,Pants,Executive,150000,"4,6"
35,TE035,Executive Ankle Length Pencil Pants Dark Brown,Pants,Executive,89970,"4,7"
36,TE036,Executive Basic Way Stretch Skinny Brooklyn Editor Pants Black,Pants,Executive,299900,"4,9"
37,TE037,Executive Regular Fit Classic Trousers Grey,Pants,Executive,89970,"4,5"
38,TE038,Executive Basic Skinny Fit Denim Pants Navy,Pants,Executive,179900,"4,8"
39,TE039,Executive Executive Jenahara Printed Wide Leg Pants Oatmeal,Pants,Executive,98970,"4,6"
40,TE040,Executive Basic Tapered High Rise Madison Editor Pants Black,Pants,Executive,287920,"4,8"
